,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,track_name,artist(s)_name
303,0.3900709219858156,0.4520547945205479,0.17204301075268819,0.3493975903614458,0.956989247311828,0.0,0.16363636363636364,0.03225806451612903,Sial,Mahalini
304,0.5602836879432623,0.6164383561643836,0.849462365591398,0.8072289156626506,0.09677419354838711,0.0,0.09090909090909091,0.03225806451612903,I Wrote The Book,Morgan Wallen
305,0.2056737588652482,0.49315068493150677,0.43010752688172044,0.5060240963855422,0.860215053763441,0.0,0.05454545454545454,0.016129032258064516,"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar"
306,0.2056737588652482,0.6849315068493151,0.6559139784946237,0.783132530120482,0.05376344086021506,0.02197802197802198,0.14545454545454545,0.06451612903225806,SPIT IN MY FACE!,ThxSoMch
307,0.34042553191489355,0.7671232876712328,0.6666666666666667,0.7228915662650603,0.08602150537634409,0.0,0.14545454545454545,0.04838709677419355,PLAYA DEL INGLï¿½,"Myke Towers, Quevedo"
308,0.5886524822695035,0.3698630136986301,0.48387096774193555,0.746987951807229,0.12903225806451613,0.0,0.16363636363636364,0.016129032258064516,Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church"
309,0.23404255319148937,0.6438356164383561,0.26881720430107525,0.710843373493976,0.12903225806451613,0.0,0.14545454545454545,0.3870967741935484,Red Ruby Da Sleeze,Nicki Minaj
310,0.5319148936170213,0.4794520547945205,0.23655913978494625,0.28915662650602414,0.9784946236559141,0.0,0.1272727272727273,0.03225806451612903,Kahani Suno 2.0,Kaifi Khalil
311,0.24822695035460995,0.1780821917808219,0.25806451612903225,0.16867469879518074,0.870967741935484,0.0,0.2727272727272727,0.016129032258064516,Nobody Gets Me,SZA
312,0.5319148936170213,0.8630136986301369,0.6881720430107527,0.783132530120482,0.41935483870967744,0.0,0.14545454545454545,0.4354838709677419,PERO Tï¿,"Karol G, Quevedo"
313,0.24822695035460995,0.49315068493150677,0.7956989247311829,0.9638554216867471,0.2903225806451613,0.0,0.47272727272727266,0.33870967741935487,Hype Boy,NewJeans
